Age,Total,Male,Female
All Ages,29291746,14204970,15086776
00-04 Yrs.,3071020,1590357,1480662
05-09 Yrs.,2763182,1419837,1343345
10-14 Yrs.,2857565,1460403,1397163
15-19 Yrs.,3251748,1653249,1598499
20-24 Yrs.,3188229,1584620,1603610
25-29 Yrs.,2583644,1185725,1397919
30-34 Yrs.,2088474,893293,1195180
35-39 Yrs.,1824062,794903,1029159
40-44 Yrs.,1590536,712853,877682
45-49 Yrs.,1391666,646469,745197
50-54 Yrs.,1200540,575407,625133
55-59 Yrs.,987578,484033,503545
60-64 Yrs.,799723,396296,403427
65-69 Yrs.,645738,312779,332959
70-74 Yrs.,491340,232768,258572
75-79 Yrs.,350207,164652,185555
80+ Yrs.,206495,97325,109169
